	item	RT	ACC	literate	number	list	pp	subject
6	D12.jpg	9.738274717557942	0.0	y	13	a	y_13	18
7	E1.jpg	11.477939713539856	0.0	y	13	a	y_13	18
8	E5.jpg	11.202423079836992	0.0	y	13	a	y_13	18
9	E7.jpg	7.4873657283196735	0.0	y	13	a	y_13	18
1	A10.jpg	5.769728399323868	1.0	y	13	b	y_13	18
2	B4.jpg	4.357777677825652	1.0	y	13	b	y_13	18
3	B9.jpg	7.423262992781929	0.0	y	13	b	y_13	18
4	C6.jpg	6.6855020825805695	1.0	y	13	b	y_13	18
5	C10.jpg	6.044370588013408	0.0	y	13	b	y_13	18
6	D8.jpg	6.928177592569227	0.0	y	13	b	y_13	18
7	E2.jpg	8.185493775758005	1.0	y	13	b	y_13	18
8	E4.jpg	5.833974984712768	1.0	y	13	b	y_13	18
9	E9.jpg	15.079839098875711	0.0	y	13	b	y_13	18
1	A11.jpg	47.82984264447078	0.0	low	3	a	low_3	19
2	B12.jpg	47.482655152194646	0.0	low	3	a	low_3	19
3	C4.jpg	32.85302718843377	0.0	low	3	a	low_3	19
4	C12.jpg	18.23648429341847	0.0	low	3	a	low_3	19
5	D7.jpg	8.881948707599804	0.0	low	3	a	low_3	19
6	D12.jpg	12.363019890584836	0.0	low	3	a	low_3	19
7	E1.jpg	9.151308162443456	0.0	low	3	a	low_3	19
8	E5.jpg	11.113864248691245	0.0	low	3	a	low_3	19
9	E7.jpg	12.683379182941279	0.0	low	3	a	low_3	19
1	A10.jpg	39.889710521420064	0.0	low	3	b	low_3	19
2	B4.jpg	10.240201292541316	0.0	low	3	b	low_3	19
3	B9.jpg	7.283045856496756	0.0	low	3	b	low_3	19
4	C6.jpg	17.50104240491055	0.0	low	3	b	low_3	19
5	C10.jpg	12.65931735749109	0.0	low	3	b	low_3	19
6	D8.jpg	12.855670378805373	1.0	low	3	b	low_3	19
7	E2.jpg	11.581010766047257	0.0	low	3	b	low_3	19
8	E4.jpg	12.054091596291986	1.0	low	3	b	low_3	19
9	E9.jpg	13.004943167150486	0.0	low	3	b	low_3	19
1	A11.jpg	48.93149842856746	0.0	y	14	a	y_14	20
2	B12.jpg	56.90161406136304	0.0	y	14	a	y_14	20
3	C4.jpg	16.63593742148896	0.0	y	14	a	y_14	20
4	C12.jpg	18.956131990606078	0.0	y	14	a	y_14	20
5	D7.jpg	14.578554606266152	0.0	y	14	a	y_14	20
6	D12.jpg	12.28799195400643	0.0	y	14	a	y_14	20
7	E1.jpg	12.537019027380664	0.0	y	14	a	y_14	20
8	E5.jpg	23.022301131529275	0.0	y	14	a	y_14	20
9	E7.jpg	20.305824349667088	1.0	y	14	a	y_14	20
1	A10.jpg	20.921925170961003	1.0	y	14	b	y_14	20
2	B4.jpg	4.636625075168013	1.0	y	14	b	y_14	20
3	B9.jpg	18.18924537201383	0.0	y	14	b	y_14	20
4	C6.jpg	12.458129306446606	0.0	y	14	b	y_14	20
5	C10.jpg	16.384110296894505	0.0	y	14	b	y_14	20
6	D8.jpg	11.644438474243545	1.0	y	14	b	y_14	20
7	E2.jpg	16.727482482458072	0.0	y	14	b	y_14	20
8	E4.jpg	17.78024379490762	0.0	y	14	b	y_14	20
9	E9.jpg	33.034095384899956	0.0	y	14	b	y_14	20
1	A11.jpg	44.58423534693793	0.0	n	3	a	n_3	21
2	B12.jpg	190.00163343074746	0.0	n	3	a	n_3	21
3	C4.jpg	97.52727517331004	0.0	n	3	a	n_3	21
4	C12.jpg	34.78937496049184	1.0	n	3	a	n_3	21
5	D7.jpg	56.165577847907116	0.0	n	3	a	n_3	21
6	D12.jpg	15.33824578209169	0.0	n	3	a	n_3	21
7	E1.jpg	56.713498435052315	1.0	n	3	a	n_3	21
8	E5.jpg	21.128923516054787	0.0	n	3	a	n_3	21
9	E7.jpg	16.66236285422201	0.0	n	3	a	n_3	21
